domain,ip
6a57jk2ba1d9keg15cbg.appsync-api.eu-west-1.avsvmcloud.com,
7sbvaemscs0mc925tb99.appsync-api.us-west-2.avsvmcloud.com,
gq1h856599gqh538acqn.appsync-api.us-west-2.avsvmcloud.com,
ihvpgv9psvq02ffo77et.appsync-api.us-east-2.avsvmcloud.com,
k5kcubuassl3alrf7gm3.appsync-api.eu-west-1.avsvmcloud.com,
mhdosoksaccf9sni9icp.appsync-api.eu-west-1.avsvmcloud.com,
deftsecurity.com,13.59.205.66
freescanonline.com,54.193.127.66
thedoccloud.com,54.215.192.52
websitetheme.com,34.203.203.23
highdatabase.com,139.99.115.204
incomeupdate.com,5.252.177.25
databasegalore.com,5.252.177.21
panhardware.com,204.188.205.176
zupertech.com,51.89.125.18
zupertech.com,167.114.213.199
freescanonline.com,
deftsecurity.com,
freescanonline.com,
thedoccloud.com,
thedoccloud.com,
thedoccloud.com,
,3.101.88.204
,8.18.144.1
,8.18.144.10
,8.18.144.106
,8.18.144.107
,8.18.144.11
,8.18.144.112
,8.18.144.128
,8.18.144.129
,8.18.144.130
,8.18.144.131
,8.18.144.136
,8.18.144.137
,8.18.144.138
,8.18.144.139
,8.18.144.149
,8.18.144.157
,8.18.144.159
,8.18.144.160
,8.18.144.161
,8.18.144.162
,8.18.144.163
,8.18.144.168
,8.18.144.169
,8.18.144.170
,8.18.144.171
,8.18.144.180
,8.18.144.182
,8.18.144.188
,8.18.144.190
,8.18.144.193
,8.18.144.2
,8.18.144.225
,8.18.144.234
,8.18.144.235
,8.18.144.240
,8.18.144.28
,8.18.144.3
,8.18.144.30
,8.18.144.32
,8.18.144.33
,8.18.144.34
,8.18.144.35
,8.18.144.40
,8.18.144.41
,8.18.144.42
,8.18.144.43
,8.18.144.53
,8.18.144.54
,8.18.144.62
,8.18.144.63
,8.18.144.64
,8.18.144.65
,8.18.144.74
,8.18.144.8
,8.18.144.9
,8.18.144.96
,8.18.144.97
,8.18.144.99
,8.18.145.1
,8.18.145.10
,8.18.145.106
,8.18.145.107
,8.18.145.11
,8.18.145.128
,8.18.145.129
,8.18.145.130
,8.18.145.131
,8.18.145.136
,8.18.145.137
,8.18.145.138
,8.18.145.139
,8.18.145.148
,8.18.145.151
,8.18.145.156
,8.18.145.158
,8.18.145.159
,8.18.145.160
,8.18.145.161
,8.18.145.162
,8.18.145.163
,8.18.145.168
,8.18.145.169
,8.18.145.170
,8.18.145.171
,8.18.145.182
,8.18.145.188
,8.18.145.189
,8.18.145.190
,8.18.145.191
,8.18.145.192
,8.18.145.193
,8.18.145.2
,8.18.145.20
,8.18.145.200
,8.18.145.201
,8.18.145.217
,8.18.145.22
,8.18.145.223
,8.18.145.23
,8.18.145.240
,8.18.145.28
